iv,T,f_resp,ap_mean,pop_at_end,pop_cv,MSE_fresp_mean,MSE_fresp_cv
0.0,272.0,0.01,0.0,0.0,3.9791121287711055,0.00011269119055683388,6.95744051124135e-06
0.0,272.0,0.01,0.0,0.0,3.9791121287711055,0.00011269119055683388,6.95744051124135e-06
0.0,272.0,0.01,0.0,0.0,3.9791121287711055,0.00011269119055683388,6.95744051124135e-06
0.0,272.0,0.01,0.0,0.0,3.9791121287711055,0.00011269119055683388,6.95744051124135e-06
0.0,272.0,0.01,0.0,0.0,3.9791121287711055,0.00011269119055683388,6.95744051124135e-06
0.5,297.5,0.5,24.56076388888532,7.0,0.5668593404313981,0.004814515976249527,0.009862089067700032
0.5,297.5,0.5,24.56076388888532,7.0,0.5668593404313981,0.004814515976249527,0.009862089067700032
0.5,297.5,0.5,24.56076388888532,7.0,0.5668593404313981,0.004814515976249527,0.009862089067700032
0.5,297.5,0.5,24.56076388888532,7.0,0.5668593404313981,0.004814515976249527,0.009862089067700032
0.5,297.5,0.5,24.56076388888532,7.0,0.5668593404313981,0.004814515976249527,0.009862089067700032
0.75,284.75,0.255,0.0,0.0,1.6023602276141846,0.011137657644178161,0.02958563226001436
0.25,284.75,0.255,0.0,0.0,2.425690628669404,0.016547027992427542,0.001894532137367042
0.75,310.25,0.255,0.0,0.0,1.5270705744357147,0.0027479215892749417,0.010849577350260292
0.75,284.75,0.745,23.810069444441044,56.0,1.0258028753197588,0.0024531752638464127,0.021954588741145455
0.25,310.25,0.745,13.31917735042621,9.0,0.9960802330370111,0.004747889916878842,0.014745241917678223
0.25,310.25,0.745,13.31917735042621,9.0,0.9960802330370111,0.004747889916878842,0.014745241917678223
0.75,310.25,0.745,8.178819444444475,0.0,2.0260397773733723,0.0032188432245715526,0.0042189966007139265
0.25,284.75,0.745,28.455191798937346,46.0,0.6017351819772262,0.006115996156901042,0.018201248959650113
0.25,310.25,0.255,0.0,0.0,1.7429744024787972,0.006187438092218001,0.00672018385065474
0.75,284.75,0.255,0.0,0.0,1.6023602276141846,0.011137657644178161,0.02958563226001436
0.375,291.125,0.6225,17.605324074072087,9.0,0.6913558119445179,0.005624374748107874,0.0076207741869755785
0.875,291.125,0.6225,24.584490740737166,0.0,0.8609599875873788,0.006103002640538022,0.00484010600580817
0.375,291.125,0.6225,17.605324074072087,9.0,0.6913558119445179,0.005624374748107874,0.0076207741869755785
0.375,291.125,0.1325,0.0,0.0,4.134364584980618,0.0015409071570522607,0.005451748540322057
0.875,291.125,0.1325,0.0,0.0,5.469768491164756,0.0010192497965522981,0.009675163361065046
0.875,316.625,0.1325,0.0,0.0,4.7635446911613375,0.002950251360524823,0.01686535683255812
0.375,316.625,0.1325,0.0,0.0,5.018484351393873,0.002372168882815625,0.001389665298147505
0.875,316.625,0.1325,0.0,0.0,4.7635446911613375,0.002950251360524823,0.01686535683255812
0.875,316.625,0.6225,31.999999999994742,32.0,0.7142765016840383,0.0055046233796540636,0.04107868775275511
0.375,316.625,0.6225,0.0,0.0,1.1056406556941012,0.01124955877132527,0.010745888090222703
0.625,278.375,0.8674999999999999,25.43793402777401,0.0,1.7135484475647977,0.006239748837467785,0.016233740115431307
0.625,278.375,0.8674999999999999,25.43793402777401,0.0,1.7135484475647977,0.006239748837467785,0.016233740115431307
0.625,303.875,0.8674999999999999,0.0,0.0,4.806165820611607,0.0012711777609354569,0.00870763637522934
0.625,278.375,0.8674999999999999,25.43793402777401,0.0,1.7135484475647977,0.006239748837467785,0.016233740115431307
0.625,303.875,0.8674999999999999,0.0,0.0,4.806165820611607,0.0012711777609354569,0.00870763637522934
0.125,303.875,0.3775,0.0,0.0,1.3052768936838681,0.004039086923927885,0.015167132855512229
0.125,303.875,0.3775,0.0,0.0,1.3052768936838681,0.004039086923927885,0.015167132855512229
0.125,278.375,0.3775,0.0,0.0,1.2459037822271433,0.00975562494802705,0.0001957051154978891
0.125,303.875,0.3775,0.0,0.0,1.3052768936838681,0.004039086923927885,0.015167132855512229
0.125,278.375,0.3775,0.0,0.0,1.2459037822271433,0.00975562494802705,0.0001957051154978891
0.1875,287.9375,0.92875,10.433823529411406,0.0,2.9960130272917005,0.0017700381950067046,0.01886192132144128
0.4375,287.9375,0.92875,8.026909722222296,0.0,3.548839554141473,0.0023181630736439905,0.03384969023534286
0.1875,300.6875,0.92875,4.000000000000082,0.0,4.739909374769787,0.0005509379178133253,0.004071210874444901
0.1875,287.9375,0.31625000000000003,0.0,0.0,1.3920576117616925,0.006345497012355309,0.018213125003452107
0.4375,300.6875,0.31625000000000003,0.0,0.0,1.6173435009298431,0.005970278146892357,0.007369724056350862
0.6875,313.4375,0.43875,0.0,0.0,1.374852182008134,0.007520172952357085,0.013229971832828697
0.9375,313.4375,0.43875,0.0,0.0,1.4032258064516125,0.008656842838019024,0.00851851915065485
0.6875,275.1875,0.43875,0.0,0.0,0.7984611289674611,0.024610845755512478,0.06533107240278446
0.6875,313.4375,0.80625,9.628472222221982,0.0,2.9885815911368923,0.002585112867471045,0.015560867722308863
0.9375,275.1875,0.80625,41.84953703702954,133.0,1.0767862436999704,0.010819465798632515,0.009489588258998932
0.9375,275.1875,0.68375,0.0,0.0,0.6632151373561328,0.02277380058023487,0.026406500219520842
0.1875,275.1875,0.68375,0.0,0.0,0.6008940057765075,0.0323166553100673,0.02823749377810608
0.9375,287.9375,0.68375,25.588888888885087,31.0,0.43294403239739654,0.004804649767123346,0.020163180491536984
0.9375,275.1875,0.56125,0.0,0.0,0.7073596673148224,0.02825116192167788,0.045383933375061226
0.1875,287.9375,0.56125,0.0,0.0,1.53368519306682,0.0092434973588345,0.011526555836950053
0.4375,300.6875,0.19375,0.0,0.0,2.066439694348863,0.0033563092691700075,0.0022241200547699082
0.6875,300.6875,0.19375,0.0,0.0,1.7363389370375188,0.0033635015484042674,0.022123892887641286
0.4375,313.4375,0.19375,0.0,0.0,1.9891885054394711,0.0004680331935308272,0.01723605775437308
0.4375,300.6875,0.07125,0.0,0.0,0.0,0.0,0.0
0.6875,313.4375,0.07125,0.0,0.0,7.079792143143998,3.4526953469178185e-05,0.018359903629305965
0.3125,281.5625,0.31625000000000003,0.0,0.0,1.5090258928856481,0.009758691371696321,0.003046466941912895
0.5625,281.5625,0.31625000000000003,0.0,0.0,1.4998767207723416,0.0069473612404400125,0.04104461435877347
0.3125,319.8125,0.31625000000000003,0.0,0.0,1.327233032701886,0.0030710034606895175,0.00468706132442739
0.3125,281.5625,0.43875,0.0,0.0,1.344493737794712,0.027429785992239924,0.016642082054518753
0.5625,319.8125,0.43875,0.0,0.0,1.1793204045503554,0.017341635794558916,0.02553145544365347
0.8125,307.0625,0.80625,5.00000000000011,0.0,5.242566044595881,0.0017227161837567412,0.008368305170361866
0.0625,307.0625,0.80625,0.0,0.0,4.0827399417668975,0.0013664002914811906,0.021255309302656736
0.8125,294.3125,0.80625,8.722222222221735,0.0,3.366407678822063,0.002444724139889563,0.008295512623079333
0.8125,307.0625,0.92875,0.0,0.0,5.290753162890129,0.00042451195044814074,0.0166685687421167
0.0625,294.3125,0.92875,6.599305555555711,0.0,3.92072814290138,0.001470625151213958,0.019527445921399374
0.5625,294.3125,0.07125,0.0,0.0,10.0,0.000877693742040772,0.005674022611937508
0.8125,294.3125,0.07125,0.0,0.0,10.0,0.0018477561592467923,3.418519823854886e-05
0.5625,281.5625,0.07125,0.0,0.0,7.079792143143998,0.0006441965001745279,0.017426442749282314
0.5625,294.3125,0.68375,15.831018518516876,15.0,0.4627225107212382,0.004670137333358646,0.010552822429406084
0.8125,281.5625,0.68375,37.030753968247566,66.0,0.7891240541019806,0.001331129191335381,0.03416461738759467
0.0625,319.8125,0.56125,0.0,0.0,0.8424486413446345,0.03692123736543928,0.00040655674212814504
0.3125,319.8125,0.56125,0.0,0.0,0.7446980550615633,0.025510326496729373,0.039962981641311277
0.0625,307.0625,0.56125,34.937499999994074,1.0,0.5501970660242267,0.005082111993309817,0.013496296821074496
0.0625,319.8125,0.19375,0.0,0.0,1.590068050445548,0.0007047576565196157,0.00022830957248166903
0.3125,307.0625,0.19375,0.0,0.0,1.5613208987490026,0.001969382081337933,0.02386648096917562
0.09375,295.90625,0.469375,0.0,0.0,1.2824637813699415,0.007126641111249504,0.01428001882677794
0.65625,295.90625,0.469375,0.0,0.0,1.3597693261964623,0.004279888408514305,0.011702973800586063
0.09375,286.34375,0.469375,0.0,0.0,1.254174912629106,0.016137850090123886,0.004711507603117066
0.09375,295.90625,0.959375,0.0,0.0,4.055470907599375,0.0007053876962840052,0.02618018652488088
0.65625,286.34375,0.959375,9.149861111110882,0.0,3.122496438441544,0.0007591458045155926,0.00822522391622013
0.59375,321.40625,0.959375,43.05347222221445,47.0,0.9011724797127089,0.0016252100367549229,0.0003321942864671442
0.15625,321.40625,0.959375,44.999999999991786,19.0,0.6217331409707538,0.001447636301653563,3.548517505692997e-05
0.59375,311.84375,0.959375,5.832785087719419,0.0,4.298362954316028,0.000706147128145144,0.026407268796829714
0.59375,321.40625,0.469375,0.0,1.0,0.4556789328033251,0.010951581114669451,0.10389212820852049
0.15625,311.84375,0.469375,0.0,0.0,1.4100232907556431,0.007225104015583467,0.00809509189506436
0.84375,283.15625,0.224375,0.0,0.0,1.5303228417559482,0.006370590532876732,0.12909357418372566
0.90625,283.15625,0.224375,0.0,0.0,1.6023602276141846,0.008015626711215603,0.011215000277789235
0.84375,299.09375,0.224375,0.0,0.0,1.5877569783257832,0.006510586188458595,0.003434745277145057
0.84375,283.15625,0.224375,0.0,0.0,1.5303228417559482,0.006370590532876732,0.12909357418372566
0.90625,299.09375,0.224375,0.0,0.0,1.5780153120745621,0.009809464425275572,0.005570243075997212
0.34375,308.65625,0.714375,13.271241830064264,8.0,0.887753325196863,0.004774643828527645,0.01594059704362805
0.40625,308.65625,0.714375,18.828258547006183,13.0,0.3797577204443462,0.0033726419731220864,0.013025379149232668
0.34375,273.59375,0.714375,69.99999999999838,2.0,0.542740796795607,0.025336961458812163,0.025456214007310036
0.34375,308.65625,0.714375,13.271241830064264,8.0,0.887753325196863,0.004774643828527645,0.01594059704362805
0.40625,273.59375,0.714375,77.00000000001111,18.0,0.6172933456243979,0.02558438464555457,0.021773159028992337
0.46875,276.78125,0.836875,33.7162990196022,0.0,1.2920866081021518,0.010047970308340046,0.031316155999958115
0.28125,276.78125,0.836875,43.58159722221433,72.0,0.8743425317242687,0.0095281690125352,0.010378253556802398
0.46875,279.96875,0.836875,26.135008169930714,1.0,1.516624752363868,0.007576748747163967,0.012611560700144854
0.46875,276.78125,0.836875,33.7162990196022,0.0,1.2920866081021518,0.010047970308340046,0.031316155999958115
0.28125,279.96875,0.836875,27.21047008546591,0.0,1.4296624587249984,0.0045379710509275495,0.01968001542932663
0.96875,302.28125,0.346875,0.0,0.0,1.7997186352722956,0.004795120187698018,0.018431759721053802
0.78125,302.28125,0.346875,0.0,0.0,1.400506962883948,0.005370710142809249,0.018090371789139675
0.96875,305.46875,0.346875,0.0,0.0,1.7801464160494518,0.004675765956145442,0.007890071540849431
0.96875,302.28125,0.346875,0.0,0.0,1.7997186352722956,0.004795120187698018,0.018431759721053802
0.78125,305.46875,0.346875,0.0,0.0,1.283164235799247,0.0026315361089183477,0.00550221109495974
0.71875,289.53125,0.591875,20.70833333333064,0.0,1.1094171114420823,0.008983192079439985,0.00994395180007386
0.03125,289.53125,0.591875,36.33333333332709,0.0,0.8673285113703513,0.008108673403220676,0.011044648248833241
0.71875,318.21875,0.591875,0.0,0.0,1.7045892942229368,0.0317178540085698,0.01624232011061906
0.71875,289.53125,0.101875,0.0,0.0,6.44749935508987,0.0002393987463006628,0.007429162338628966
0.03125,318.21875,0.101875,0.0,0.0,4.10760611348497,0.00037419776017252063,6.185521360649146e-05
0.21875,315.03125,0.101875,0.0,0.0,8.482007099999649,0.0019846944458460007,0.003706840110675118
0.53125,315.03125,0.101875,0.0,0.0,10.0,0.006948553250126114,0.034061963401835114
0.21875,292.71875,0.101875,0.0,0.0,10.0,0.0014314861215023842,0.01654581723694503
0.21875,315.03125,0.591875,0.0,0.0,1.08530264721432,0.01216803553827901,0.00866564897518566
0.53125,292.71875,0.591875,25.943452380948496,7.0,0.41826992523987633,0.00655760903259282,0.008430257687288448
0.15625,279.96875,0.530625,0.0,0.0,1.1647603473104098,0.030856003216739078,0.003570924252329894
